No.,Provinsi,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023
XI,LAMPUNG, Rp 47.900 , Rp 58.150 , Rp 35.350 , Rp 38.950 , Rp 25.100 , Rp 22.600 , Rp 24.700 , Rp 28.700 , Rp 23.950 , Rp 24.650 , Rp 26.200 , Rp 34.250 , Rp 63.650 , Rp 75.200 , Rp 81.350 , Rp 67.900 , Rp 42.950 , Rp 35.650 , Rp 43.700 , Rp 41.900 , Rp 24.900 , Rp 27.450 , Rp 26.450 , Rp 40.950 , Rp 69.900 , Rp 35.100 , Rp 43.150 , Rp 38.650 , Rp 40.150 , Rp 67.500 , Rp 88.150 , Rp 59.700 , Rp 48.850 , Rp 47.800 , Rp 32.600 , Rp 33.400 , Rp 71.950 , Rp 47.800 , Rp 51.700 , Rp 40.850 , Rp 34.900 
XII,BANTEN, Rp 49.100 , Rp 63.450 , Rp 39.500 , Rp 45.800 , Rp 29.100 , Rp 28.000 , Rp 25.250 , Rp 26.850 , Rp 23.200 , Rp 25.400 , Rp 26.650 , Rp 37.700 , Rp 83.000 , Rp 83.800 , Rp 92.900 , Rp 73.750 , Rp 46.850 , Rp 32.950 , Rp 47.400 , Rp 36.750 , Rp 24.100 , Rp 27.200 , Rp 26.500 , Rp 41.400 , Rp 79.150 , Rp 38.050 , Rp 54.800 , Rp 47.550 , Rp 36.300 , Rp 73.850 , Rp 96.900 , Rp 63.200 , Rp 52.450 , Rp 50.200 , Rp 33.150 , Rp 40.500 , Rp 76.250 , Rp 51.700 , Rp 59.900 , Rp 48.250 , Rp 30.700 
XIII,JAWA BARAT, Rp 38.650 , Rp 62.600 , Rp 38.200 , Rp 43.600 , Rp 31.350 , Rp 27.150 , Rp 24.300 , Rp 26.750 , Rp 22.550 , Rp 23.500 , Rp 25.500 , Rp 35.350 , Rp 72.850 , Rp 77.400 , Rp 90.050 , Rp 75.600 , Rp 48.700 , Rp 35.350 , Rp 45.550 , Rp 38.200 , Rp 25.300 , Rp 27.200 , Rp 27.050 , Rp 42.950 , Rp 74.350 , Rp 36.850 , Rp 50.050 , Rp 47.550 , Rp 39.050 , Rp 66.050 , Rp 89.750 , Rp 64.250 , Rp 52.300 , Rp 52.200 , Rp 36.250 , Rp 37.150 , Rp 72.150 , Rp 53.650 , Rp 59.500 , Rp 50.050 , Rp 41.750 
XIV,DKI JAKARTA, Rp 42.900 , Rp 70.000 , Rp 44.600 , Rp 51.650 , Rp 55.850 , Rp 30.000 , Rp 26.650 , Rp 29.350 , Rp 27.100 , Rp 29.150 , Rp 32.900 , Rp 40.400 , Rp 81.250 , Rp 88.750 , Rp 102.500 , Rp 84.150 , Rp 55.000 , Rp 39.150 , Rp 50.000 , Rp 43.350 , Rp 27.900 , Rp 32.500 , Rp 33.350 , Rp 49.150 , Rp 78.750 , Rp 44.150 , Rp 54.600 , Rp 49.600 , Rp 41.250 , Rp 66.650 , Rp 102.500 , Rp 69.150 , Rp 58.350 , Rp 54.150 , Rp 42.900 , Rp 41.250 , Rp 77.500 , Rp 62.100 , Rp 65.850 , Rp 48.750 , Rp 42.100 
XV,JAWA TENGAH, Rp 36.050 , Rp 54.050 , Rp 30.100 , Rp 33.600 , Rp 17.150 , Rp 18.000 , Rp 18.050 , Rp 19.050 , Rp 15.300 , Rp 18.650 , Rp 19.600 , Rp 32.450 , Rp 58.250 , Rp 63.400 , Rp 74.650 , Rp 56.650 , Rp 40.900 , Rp 29.550 , Rp 38.850 , Rp 30.100 , Rp 16.650 , Rp 20.750 , Rp 21.100 , Rp 35.100 , Rp 55.650 , Rp 26.600 , Rp 40.900 , Rp 32.550 , Rp 26.950 , Rp 55.000 , Rp 74.350 , Rp 48.800 , Rp 41.000 , Rp 44.500 , Rp 29.900 , Rp 32.100 , Rp 54.000 , Rp 44.800 , Rp 45.900 , Rp 35.950 , Rp 24.150 
XVI,DI YOGYAKARTA, Rp 31.750 , Rp 57.500 , Rp 30.000 , Rp 34.150 , Rp 18.250 , Rp 17.900 , Rp 18.750 , Rp 19.500 , Rp 15.150 , Rp 19.150 , Rp 20.000 , Rp 33.900 , Rp 59.400 , Rp 68.750 , Rp 77.900 , Rp 59.400 , Rp 44.400 , Rp 26.900 , Rp 35.650 , Rp 28.150 , Rp 18.000 , Rp 21.400 , Rp 22.500 , Rp 48.150 , Rp 68.150 , Rp 32.150 , Rp 50.000 , Rp 41.900 , Rp 39.400 , Rp 57.900 , Rp 83.750 , Rp 53.150 , Rp 41.900 , Rp 46.900 , Rp 30.000 , Rp 37.500 , Rp 56.900 , Rp 48.750 , Rp 58.750 , Rp 51.900 , Rp 28.750 
XVII,JAWA TIMUR, Rp 28.950 , Rp 49.400 , Rp 23.650 , Rp 30.150 , Rp 14.800 , Rp 18.250 , Rp 15.100 , Rp 17.250 , Rp 13.400 , Rp 14.700 , Rp 16.200 , Rp 26.700 , Rp 56.050 , Rp 52.700 , Rp 67.050 , Rp 44.600 , Rp 33.150 , Rp 24.000 , Rp 35.150 , Rp 25.400 , Rp 13.550 , Rp 16.400 , Rp 15.650 , Rp 33.350 , Rp 47.750 , Rp 23.150 , Rp 38.150 , Rp 29.450 , Rp 22.400 , Rp 52.400 , Rp 69.950 , Rp 46.750 , Rp 36.750 , Rp 37.650 , Rp 21.000 , Rp 26.800 , Rp 50.550 , Rp 40.300 , Rp 45.050 , Rp 32.050 , Rp 25.900 
XVIII,BALI, Rp 33.650 , Rp 51.900 , Rp 27.700 , Rp 39.000 , Rp 22.700 , Rp 18.750 , Rp 18.900 , Rp 20.150 , Rp 17.850 , Rp 18.650 , Rp 18.200 , Rp 26.400 , Rp 57.650 , Rp 56.500 , Rp 71.900 , Rp 56.300 , Rp 37.550 , Rp 23.750 , Rp 35.600 , Rp 30.450 , Rp 16.650 , Rp 17.150 , Rp 18.000 , Rp 31.750 , Rp 54.700 , Rp 27.150 , Rp 43.150 , Rp 36.200 , Rp 23.750 , Rp 46.200 , Rp 64.200 , Rp 56.450 , Rp 41.650 , Rp 39.750 , Rp 26.000 , Rp 25.900 , Rp 38.450 , Rp 41.700 , Rp 50.250 , Rp 36.700 , Rp 24.700 
XIX,NUSA TENGGARA BARAT, Rp 30.500 , Rp 51.150 , Rp 21.150 , Rp 51.400 , Rp 23.400 , Rp 21.000 , Rp 18.500 , Rp 15.000 , Rp 13.000 , Rp 12.800 , Rp 13.600 , Rp 23.450 , Rp 48.550 , Rp 49.250 , Rp 64.050 , Rp 95.800 , Rp 55.650 , Rp 32.100 , Rp 35.800 , Rp 32.800 , Rp 16.400 , Rp 13.650 , Rp 13.000 , Rp 24.550 , Rp 46.250 , Rp 25.800 , Rp 55.250 , Rp 45.750 , Rp 29.400 , Rp 47.500 , Rp 65.300 , Rp 41.100 , Rp 32.750 , Rp 35.750 , Rp 20.400 , Rp 19.800 , Rp 56.900 , Rp 41.550 , Rp 57.650 , Rp 45.500 , Rp 28.750 
XX,NUSA TENGGARA TIMUR, Rp 76.400 , Rp 91.200 , Rp 61.500 , Rp 46.700 , Rp 52.850 , Rp 40.950 , Rp 51.050 , Rp 46.950 , Rp 39.450 , Rp 34.900 , Rp 42.550 , Rp 42.000 , Rp 51.800 , Rp 52.000 , Rp 60.900 , Rp 61.900 , Rp 71.450 , Rp 82.100 , Rp 79.450 , Rp 81.650 , Rp 62.300 , Rp 47.700 , Rp 46.200 , Rp 38.850 , Rp 63.350 , Rp 63.500 , Rp 57.050 , Rp 68.950 , Rp 71.700 , Rp 57.750 , Rp 64.200 , Rp 65.450 , Rp 61.450 , Rp 57.300 , Rp 55.850 , Rp 53.350 , Rp 69.400 , Rp 66.450 , Rp 76.450 , Rp 76.700 , Rp 73.150 
XXI,KALIMANTAN BARAT, Rp 51.050 , Rp 68.250 , Rp 53.500 , Rp 55.750 , Rp 45.850 , Rp 44.850 , Rp 39.750 , Rp 67.100 , Rp 64.200 , Rp 51.500 , Rp 54.400 , Rp 79.400 , Rp 94.100 , Rp 105.350 , Rp 114.200 , Rp 99.550 , Rp 62.450 , Rp 29.850 , Rp 39.850 , Rp 50.250 , Rp 50.800 , Rp 51.350 , Rp 44.000 , Rp 66.250 , Rp 124.400 , Rp 89.400 , Rp 77.850 , Rp 72.000 , Rp 66.250 , Rp 70.900 , Rp 79.050 , Rp 81.100 , Rp 67.750 , Rp 71.300 , Rp 51.950 , Rp 57.900 , Rp 92.000 , Rp 76.000 , Rp 76.500 , Rp 70.550 , Rp 60.000 
XXII,KALIMANTAN SELATAN, Rp 27.000 , Rp 47.400 , Rp 31.450 , Rp 41.000 , Rp 25.950 , Rp 32.200 , Rp 25.700 , Rp 27.100 , Rp 22.500 , Rp 19.450 , Rp 21.900 , Rp 40.050 , Rp 56.100 , Rp 67.700 , Rp 88.950 , Rp 83.350 , Rp 52.700 , Rp 47.300 , Rp 57.950 , Rp 45.850 , Rp 30.950 , Rp 27.550 , Rp 25.200 , Rp 40.800 , Rp 70.400 , Rp 43.100 , Rp 60.650 , Rp 52.350 , Rp 38.150 , Rp 55.400 , Rp 77.700 , Rp 59.150 , Rp 48.800 , Rp 49.150 , Rp 38.600 , Rp 38.600 , Rp 44.050 , Rp 36.900 , Rp 46.050 , Rp 39.200 , Rp 34.900 
